name,cause,runs,median_kcal,impact,note
tempura / crunchy maki rolls with spicy mayo and tobiko,composite,1,1368,1368,described dish - decomposition candidate
"topped crostini / open canapés (prosciutto, smoked salmon, avocado spread, mango)",composite,1,990,990,described dish - decomposition candidate
"assorted crostini canapés (avocado-mango, smoked salmon, prosciutto, cream cheese)",composite,1,924,924,described dish - decomposition candidate
stuffed mussels in tomato sauce,composite,2,447,894,described dish - decomposition candidate
taiwanese braised pork belly topping (lu rou),composite,2,427,854,described dish - decomposition candidate
"roast chicken (half, breast and leg quarter with skin)",composite,1,850,850,described dish - decomposition candidate
"roasted chicken pieces with rosemary (thigh, drumstick, breast)",composite,1,825,825,described dish - decomposition candidate
"assorted nigiri (salmon, white fish, tuna, shrimp, avocado)",composite,1,798,798,described dish - decomposition candidate
"assorted nigiri (salmon, whitefish, tuna, shrimp, avocado)",composite,1,771,771,described dish - decomposition candidate
roast chicken (skin-on breast and leg quarter) with rosemary,composite,1,725,725,described dish - decomposition candidate
"crostini with avocado spread, smoked salmon and mango",composite,1,645,645,described dish - decomposition candidate
square wheat crackers,near_miss_alias,2,319,638,"shares ['cracker', 'square', 'wheat'] with DB entries"
stuffed peppers / stuffed shells in tomato sauce,composite,1,562,562,described dish - decomposition candidate
caprese salad with tomato and mozzarella pearls,composite,1,522,522,described dish - decomposition candidate
roasted sweet potato cubes,near_miss_alias,3,174,522,"shares ['cube', 'potato', 'sweet'] with DB entries"
taiwanese braised pork belly (lu rou),composite,1,488,488,described dish - decomposition candidate
olive oil in small glass pitcher,near_miss_alias,1,442,442,"shares ['oil', 'olive'] with DB entries"
olive oil in serving cruet,near_miss_alias,1,442,442,"shares ['oil', 'olive'] with DB entries"
spread / sauce dipping cups,branded_unmatched,2,217,434,brand 'In-N-Out Burger' not in fastfood.json
"caprese salad (tomato slices with mozzarella pearls, herbs and oil)",composite,1,428,428,described dish - decomposition candidate
seared beef sirloin/tenderloin slices (rare),composite,1,412,412,described dish - decomposition candidate
seared beef steak slices (rare),composite,1,405,405,described dish - decomposition candidate
seared beef tenderloin slices (rare),composite,1,400,400,described dish - decomposition candidate
caprese platter (tomato slices with mozzarella balls),composite,1,380,380,described dish - decomposition candidate
crostini with cream cheese and salami/prosciutto,composite,1,330,330,described dish - decomposition candidate
sun-dried tomatoes in oil,composite,3,86,258,described dish - decomposition candidate
braised napa cabbage with fried tofu,composite,2,127,254,described dish - decomposition candidate
shrimp in creamy sauce,near_miss_alias,1,243,243,"shares ['creamy', 'sauce', 'shrimp'] with DB entries"
stir-fried pork with green bell peppers,composite,1,231,231,described dish - decomposition candidate
herb/garlic compound butter pat,composite,2,114,227,described dish - decomposition candidate
spread dipping sauce,branded_unmatched,1,213,213,brand 'In-N-Out Burger' not in fastfood.json
shrimp with creamy cocktail sauce,composite,1,210,210,described dish - decomposition candidate
vegetable rice pilaf with carrot,composite,1,208,208,described dish - decomposition candidate
thick white dip (tzatziki / labneh / whipped cheese),composite,1,204,204,described dish - decomposition candidate
"red wine grapes (on the vine), main cluster",composite,1,200,200,described dish - decomposition candidate
honey in glass server,not_in_db,1,182,182,no token overlap with any DB entry
